"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"Ataléia",1836.933,13736,7.48,13936,99.04,0.588,35.4,73994497.92,73784347.58,18906.22
"Augusto de Lima",1254.832,4538,3.62,4572,100,0.656,NA,46713111.71,42208132.28,25090.72
"Baependi",750.554,18366,24.47,18782,100,0.681,NA,120308158.99,121826804.65,24607.41
"Baldim",556.266,7492,13.47,7595,100,0.671,NA,42216864.81,37116293.36,17635.53
"Bambuí",1455.819,23546,16.17,24203,96.81,0.741,9.13,131739110.73,133461190.11,36567.38
"Bandeira",483.789,4741,9.8,4811,99.46,0.599,NA,40837439.66,35156087.07,13988.01
"Bandeira do Sul",47.266,5943,125.74,6183,100,0.692,18.87,1582348.32,35296025.15,19159.05
"Barão de Cocais",340.14,30778,90.49,32264,98.57,0.722,12.29,334469880.13,315934802.49,50268.69
"Barão do Monte Alto",198.313,4964,25.03,4952,100,0.649,NA,38328009.22,36185167.6,14875.4
"Barbacena",759.186,125317,165.07,129695,97.1,0.769,10.44,712995176.17,736102067.1,32785.79
"Barra Longa",383.628,5666,14.77,5717,97.85,0.624,NA,48232655.54,58311266.28,17955.57
"Barroso",82.07,20080,244.67,20604,96.93,0.734,4.57,117636362.53,107634111.84,39930.77
"Bela Vista de Minas",109.25,10167,93.15,10427,99.52,0.674,23.81,82256747.19,96090547.39,40103.71
